ranking,query,sort_by_filter,video_id,video_url
5,overdose fentanyl,viewCount,LxyyvW_fcqw,https://www.youtube.com/watch?v=LxyyvW_fcqw
6,overdose fentanyl,viewCount,GWBzxr3c29s,https://www.youtube.com/watch?v=GWBzxr3c29s
7,overdose fentanyl,viewCount,C0tW8FWBm1g,https://www.youtube.com/watch?v=C0tW8FWBm1g
8,overdose fentanyl,viewCount,wKT5ziEwt9A,https://www.youtube.com/watch?v=wKT5ziEwt9A
9,overdose fentanyl,viewCount,MTUAOMjrcAw,https://www.youtube.com/watch?v=MTUAOMjrcAw
10,overdose fentanyl,viewCount,dcb9G775KaY,https://www.youtube.com/watch?v=dcb9G775KaY
1,overdose fentanyl,date,3OGQIgAgtnM,https://www.youtube.com/watch?v=3OGQIgAgtnM
2,overdose fentanyl,date,sR09EvKa6Ss,https://www.youtube.com/watch?v=sR09EvKa6Ss
3,overdose fentanyl,date,OaCUD3IliR8,https://www.youtube.com/watch?v=OaCUD3IliR8
4,overdose fentanyl,date,8bCyXhnrRdU,https://www.youtube.com/watch?v=8bCyXhnrRdU
5,overdose fentanyl,date,Zp2tqrlv6r8,https://www.youtube.com/watch?v=Zp2tqrlv6r8
6,overdose fentanyl,date,zActh3RA1j8,https://www.youtube.com/watch?v=zActh3RA1j8
7,overdose fentanyl,date,rdy8VmHC0UY,https://www.youtube.com/watch?v=rdy8VmHC0UY
8,overdose fentanyl,date,QKGJHiqZl88,https://www.youtube.com/watch?v=QKGJHiqZl88
9,overdose fentanyl,date,oIxGJOhxVso,https://www.youtube.com/watch?v=oIxGJOhxVso
10,overdose fentanyl,date,EYJJ3wLCvgo,https://www.youtube.com/watch?v=EYJJ3wLCvgo
1,overdose fentanyl,rating,wVSHrMt1IfY,https://www.youtube.com/watch?v=wVSHrMt1IfY
2,overdose fentanyl,rating,AYUn6AFlH00,https://www.youtube.com/watch?v=AYUn6AFlH00
3,overdose fentanyl,rating,TK_hNn3eJWE,https://www.youtube.com/watch?v=TK_hNn3eJWE
4,overdose fentanyl,rating,Tj9CxN8YLEU,https://www.youtube.com/watch?v=Tj9CxN8YLEU
5,overdose fentanyl,rating,sd3UjDVbdCI,https://www.youtube.com/watch?v=sd3UjDVbdCI
6,overdose fentanyl,rating,3OGQIgAgtnM,https://www.youtube.com/watch?v=3OGQIgAgtnM
7,overdose fentanyl,rating,PcFKkh_FwqM,https://www.youtube.com/watch?v=PcFKkh_FwqM
8,overdose fentanyl,rating,tJJ4P--_ZaA,https://www.youtube.com/watch?v=tJJ4P--_ZaA
9,overdose fentanyl,rating,U6nRlgWh76w,https://www.youtube.com/watch?v=U6nRlgWh76w
10,overdose fentanyl,rating,bEWY7Ps6uy4,https://www.youtube.com/watch?v=bEWY7Ps6uy4
1,fentanyl drug,relevance,JqqfI-bIvnI,https://www.youtube.com/watch?v=JqqfI-bIvnI
2,fentanyl drug,relevance,H-Il9w-hIgg,https://www.youtube.com/watch?v=H-Il9w-hIgg
3,fentanyl drug,relevance,lmxF2owm3Gg,https://www.youtube.com/watch?v=lmxF2owm3Gg
4,fentanyl drug,relevance,wpYcOznq0d8,https://www.youtube.com/watch?v=wpYcOznq0d8
5,fentanyl drug,relevance,BG70kTLfS7w,https://www.youtube.com/watch?v=BG70kTLfS7w
6,fentanyl drug,relevance,ECHli9OnbFI,https://www.youtube.com/watch?v=ECHli9OnbFI
7,fentanyl drug,relevance,OaCUD3IliR8,https://www.youtube.com/watch?v=OaCUD3IliR8
8,fentanyl drug,relevance,3QrZLNyYHVw,https://www.youtube.com/watch?v=3QrZLNyYHVw
